Object,Entry Time,Exit Time
cup,2024-11-24 10:02:19,IN PROGRESS
cell phone,2024-11-24 10:02:18,2024-11-24 10:02:19
cup,2024-11-24 10:02:19,2024-11-24 10:02:19
person,2024-11-24 10:06:28,IN PROGRESS
cell phone,2024-11-24 10:06:28,IN PROGRESS
cell phone,2024-11-24 10:06:28,2024-11-24 10:06:29
cell phone,2024-11-24 10:06:29,IN PROGRESS
cell phone,2024-11-24 10:06:29,2024-11-24 10:06:32
cell phone,2024-11-24 10:06:34,IN PROGRESS
cell phone,2024-11-24 10:06:34,2024-11-24 10:06:34
cell phone,2024-11-24 10:06:35,IN PROGRESS
cell phone,2024-11-24 10:06:35,2024-11-24 10:06:38
cell phone,2024-11-24 10:06:40,IN PROGRESS
cell phone,2024-11-24 10:06:40,2024-11-24 10:06:40
cell phone,2024-11-24 10:06:46,IN PROGRESS
cell phone,2024-11-24 10:06:46,2024-11-24 10:06:47
umbrella,2024-11-24 10:06:48,IN PROGRESS
cell phone,2024-11-24 10:06:49,IN PROGRESS
umbrella,2024-11-24 10:06:48,2024-11-24 10:06:49
cell phone,2024-11-24 10:06:49,2024-11-24 10:06:51
cell phone,2024-11-24 10:06:51,IN PROGRESS
cell phone,2024-11-24 10:06:51,2024-11-24 10:06:51
cell phone,2024-11-24 10:06:52,IN PROGRESS
cell phone,2024-11-24 10:06:52,2024-11-24 10:06:54
suitcase,2024-11-24 10:06:55,IN PROGRESS
suitcase,2024-11-24 10:06:55,2024-11-24 10:06:55
refrigerator,2024-11-24 10:06:56,IN PROGRESS
refrigerator,2024-11-24 10:06:56,2024-11-24 10:06:57
refrigerator,2024-11-24 10:06:57,IN PROGRESS
refrigerator,2024-11-24 10:06:57,2024-11-24 10:07:00
refrigerator,2024-11-24 10:07:02,IN PROGRESS
refrigerator,2024-11-24 10:07:02,2024-11-24 10:07:02
refrigerator,2024-11-24 10:07:03,IN PROGRESS
refrigerator,2024-11-24 10:07:03,2024-11-24 10:07:03
refrigerator,2024-11-24 10:07:03,IN PROGRESS
refrigerator,2024-11-24 10:07:03,2024-11-24 10:07:04
refrigerator,2024-11-24 10:07:05,IN PROGRESS
suitcase,2024-11-24 10:07:06,IN PROGRESS
suitcase,2024-11-24 10:07:06,2024-11-24 10:07:07
refrigerator,2024-11-24 10:07:05,2024-11-24 10:07:07
cell phone,2024-11-24 10:07:08,IN PROGRESS
cell phone,2024-11-24 10:07:08,2024-11-24 10:07:09
pizza,2024-11-24 10:07:09,IN PROGRESS
pizza,2024-11-24 10:07:09,2024-11-24 10:07:09
cell phone,2024-11-24 10:07:10,IN PROGRESS
cell phone,2024-11-24 10:07:10,2024-11-24 10:07:10
suitcase,2024-11-24 10:07:13,IN PROGRESS
tie,2024-11-24 10:07:13,IN PROGRESS
suitcase,2024-11-24 10:07:13,2024-11-24 10:07:13
tie,2024-11-24 10:07:13,2024-11-24 10:07:13
cell phone,2024-11-24 10:07:14,IN PROGRESS
cell phone,2024-11-24 10:07:14,2024-11-24 10:07:14
skateboard,2024-11-24 10:07:16,IN PROGRESS
skateboard,2024-11-24 10:07:16,2024-11-24 10:07:16
skateboard,2024-11-24 10:07:17,IN PROGRESS
skateboard,2024-11-24 10:07:17,2024-11-24 10:07:17
umbrella,2024-11-24 10:07:18,IN PROGRESS
umbrella,2024-11-24 10:07:18,2024-11-24 10:07:19
tie,2024-11-24 10:07:19,IN PROGRESS
tie,2024-11-24 10:07:19,2024-11-24 10:07:20
refrigerator,2024-11-24 10:07:21,IN PROGRESS
cell phone,2024-11-24 10:07:22,IN PROGRESS
laptop,2024-11-24 10:07:22,IN PROGRESS
cell phone,2024-11-24 10:07:22,2024-11-24 10:07:22
laptop,2024-11-24 10:07:22,2024-11-24 10:07:22
refrigerator,2024-11-24 10:07:21,2024-11-24 10:07:22
refrigerator,2024-11-24 10:07:23,IN PROGRESS
refrigerator,2024-11-24 10:07:23,2024-11-24 10:07:23
refrigerator,2024-11-24 10:07:24,IN PROGRESS
refrigerator,2024-11-24 10:07:24,2024-11-24 10:07:24
refrigerator,2024-11-24 10:07:24,IN PROGRESS
refrigerator,2024-11-24 10:07:24,2024-11-24 10:07:25
refrigerator,2024-11-24 10:07:26,IN PROGRESS
laptop,2024-11-24 10:07:26,IN PROGRESS
laptop,2024-11-24 10:07:26,2024-11-24 10:07:26
refrigerator,2024-11-24 10:07:26,2024-11-24 10:07:26
refrigerator,2024-11-24 10:07:27,IN PROGRESS
suitcase,2024-11-24 10:07:27,IN PROGRESS
suitcase,2024-11-24 10:07:27,2024-11-24 10:07:28
cell phone,2024-11-24 10:07:29,IN PROGRESS
cell phone,2024-11-24 10:07:29,2024-11-24 10:07:29
refrigerator,2024-11-24 10:07:27,2024-11-24 10:07:30
refrigerator,2024-11-24 10:07:30,IN PROGRESS
refrigerator,2024-11-24 10:07:30,2024-11-24 10:07:31
refrigerator,2024-11-24 10:07:32,IN PROGRESS
cell phone,2024-11-24 10:07:32,IN PROGRESS
refrigerator,2024-11-24 10:07:32,2024-11-24 10:07:32
cell phone,2024-11-24 10:07:32,2024-11-24 10:07:32
refrigerator,2024-11-24 10:07:33,IN PROGRESS
refrigerator,2024-11-24 10:07:33,2024-11-24 10:07:34
cell phone,2024-11-24 10:07:34,IN PROGRESS
refrigerator,2024-11-24 10:07:34,IN PROGRESS
cell phone,2024-11-24 10:07:34,2024-11-24 10:07:35
cell phone,2024-11-24 10:07:35,IN PROGRESS
cell phone,2024-11-24 10:07:35,2024-11-24 10:07:36
refrigerator,2024-11-24 10:07:34,2024-11-24 10:07:36
refrigerator,2024-11-24 10:07:37,IN PROGRESS
cell phone,2024-11-24 10:07:39,IN PROGRESS
cell phone,2024-11-24 10:07:39,2024-11-24 10:07:39
refrigerator,2024-11-24 10:07:37,2024-11-24 10:07:40
refrigerator,2024-11-24 10:07:41,IN PROGRESS
refrigerator,2024-11-24 10:07:41,2024-11-24 10:07:42
refrigerator,2024-11-24 10:07:43,IN PROGRESS
refrigerator,2024-11-24 10:07:43,2024-11-24 10:07:43
tie,2024-11-24 10:07:44,IN PROGRESS
umbrella,2024-11-24 10:07:44,IN PROGRESS
refrigerator,2024-11-24 10:07:44,IN PROGRESS
suitcase,2024-11-24 10:07:44,IN PROGRESS
tie,2024-11-24 10:07:44,2024-11-24 10:07:44
umbrella,2024-11-24 10:07:44,2024-11-24 10:07:44
refrigerator,2024-11-24 10:07:44,2024-11-24 10:07:44
suitcase,2024-11-24 10:07:44,2024-11-24 10:07:44
cell phone,2024-11-24 10:07:45,IN PROGRESS
cell phone,2024-11-24 10:07:45,2024-11-24 10:07:45
cell phone,2024-11-24 10:07:46,IN PROGRESS
cell phone,2024-11-24 10:07:46,2024-11-24 10:07:47
chair,2024-11-24 10:07:48,IN PROGRESS
chair,2024-11-24 10:07:48,2024-11-24 10:07:49
cell phone,2024-11-24 10:07:50,IN PROGRESS
cell phone,2024-11-24 10:07:50,2024-11-24 10:07:51
cell phone,2024-11-24 10:07:51,IN PROGRESS
cell phone,2024-11-24 10:07:51,2024-11-24 10:07:51
cell phone,2024-11-24 10:07:53,IN PROGRESS
cell phone,2024-11-24 10:07:53,2024-11-24 10:07:53
cell phone,2024-11-24 10:07:54,IN PROGRESS
cell phone,2024-11-24 10:07:54,2024-11-24 10:07:55
cell phone,2024-11-24 10:07:56,IN PROGRESS
cell phone,2024-11-24 10:07:56,2024-11-24 10:07:57
cell phone,2024-11-24 10:07:57,IN PROGRESS
cell phone,2024-11-24 10:07:57,2024-11-24 10:07:58
cell phone,2024-11-24 10:07:59,IN PROGRESS
cell phone,2024-11-24 10:07:59,2024-11-24 10:08:01
cell phone,2024-11-24 10:08:02,IN PROGRESS
cell phone,2024-11-24 10:08:02,2024-11-24 10:08:02
cell phone,2024-11-24 10:08:03,IN PROGRESS
cell phone,2024-11-24 10:08:03,2024-11-24 10:08:07
cell phone,2024-11-24 10:08:08,IN PROGRESS
cell phone,2024-11-24 10:08:08,2024-11-24 10:08:11
umbrella,2024-11-24 10:08:12,IN PROGRESS
umbrella,2024-11-24 10:08:12,2024-11-24 10:08:12
cell phone,2024-11-24 10:08:14,IN PROGRESS
cell phone,2024-11-24 10:08:14,2024-11-24 10:08:15
cell phone,2024-11-24 10:08:15,IN PROGRESS
cell phone,2024-11-24 10:08:15,2024-11-24 10:08:16
cell phone,2024-11-24 10:08:16,IN PROGRESS
cell phone,2024-11-24 10:08:16,2024-11-24 10:08:18
cell phone,2024-11-24 10:08:18,IN PROGRESS
cell phone,2024-11-24 10:08:18,2024-11-24 10:08:19
cell phone,2024-11-24 10:08:20,IN PROGRESS
cell phone,2024-11-24 10:08:20,2024-11-24 10:08:22
cell phone,2024-11-24 10:08:22,IN PROGRESS
cell phone,2024-11-24 10:08:22,2024-11-24 10:08:22
cell phone,2024-11-24 10:08:25,IN PROGRESS
cell phone,2024-11-24 10:08:25,2024-11-24 10:08:26
cell phone,2024-11-24 10:08:27,IN PROGRESS
cell phone,2024-11-24 10:08:27,2024-11-24 10:08:27
cell phone,2024-11-24 10:08:28,IN PROGRESS
cell phone,2024-11-24 10:08:28,2024-11-24 10:08:29
cell phone,2024-11-24 10:08:29,IN PROGRESS
cell phone,2024-11-24 10:08:29,2024-11-24 10:08:30
cell phone,2024-11-24 10:08:31,IN PROGRESS
cell phone,2024-11-24 10:08:31,2024-11-24 10:08:32
cell phone,2024-11-24 10:08:33,IN PROGRESS
cell phone,2024-11-24 10:08:33,2024-11-24 10:08:33
cell phone,2024-11-24 10:08:35,IN PROGRESS
cell phone,2024-11-24 10:08:35,2024-11-24 10:08:35
cell phone,2024-11-24 10:08:37,IN PROGRESS
cell phone,2024-11-24 10:08:37,2024-11-24 10:08:37
cell phone,2024-11-24 10:08:38,IN PROGRESS
cell phone,2024-11-24 10:08:38,2024-11-24 10:08:38
umbrella,2024-11-24 10:08:42,IN PROGRESS
umbrella,2024-11-24 10:08:42,2024-11-24 10:08:42
cell phone,2024-11-24 10:08:43,IN PROGRESS
cell phone,2024-11-24 10:08:43,2024-11-24 10:08:44
cell phone,2024-11-24 10:08:46,IN PROGRESS
cell phone,2024-11-24 10:08:46,2024-11-24 10:08:46
cell phone,2024-11-24 10:08:49,IN PROGRESS
cell phone,2024-11-24 10:08:49,2024-11-24 10:08:49
cell phone,2024-11-24 10:08:49,IN PROGRESS
cell phone,2024-11-24 10:08:49,2024-11-24 10:08:50
cell phone,2024-11-24 10:08:50,IN PROGRESS
cell phone,2024-11-24 10:08:50,2024-11-24 10:08:51
umbrella,2024-11-24 10:08:51,IN PROGRESS
umbrella,2024-11-24 10:08:51,2024-11-24 10:08:51
cell phone,2024-11-24 10:08:52,IN PROGRESS
cell phone,2024-11-24 10:08:52,2024-11-24 10:08:52
cell phone,2024-11-24 10:08:52,IN PROGRESS
cell phone,2024-11-24 10:08:52,2024-11-24 10:08:53
cell phone,2024-11-24 10:08:55,IN PROGRESS
cell phone,2024-11-24 10:08:55,2024-11-24 10:08:55
cell phone,2024-11-24 10:08:55,IN PROGRESS
cell phone,2024-11-24 10:08:55,2024-11-24 10:08:56
cell phone,2024-11-24 10:08:57,IN PROGRESS
cell phone,2024-11-24 10:08:57,2024-11-24 10:08:58
cell phone,2024-11-24 10:08:59,IN PROGRESS
person,2024-11-24 10:10:10,IN PROGRESS
cell phone,2024-11-24 10:10:12,IN PROGRESS
dog,2024-11-24 10:10:13,IN PROGRESS
dog,2024-11-24 10:10:13,2024-11-24 10:10:14
umbrella,2024-11-24 10:10:15,IN PROGRESS
umbrella,2024-11-24 10:10:15,2024-11-24 10:10:15
cell phone,2024-11-24 10:10:12,2024-11-24 10:10:15
cell phone,2024-11-24 10:10:15,IN PROGRESS
pizza,2024-11-24 10:10:16,IN PROGRESS
pizza,2024-11-24 10:10:16,2024-11-24 10:10:16
cell phone,2024-11-24 10:10:15,2024-11-24 10:10:25
cell phone,2024-11-24 10:10:25,IN PROGRESS
cell phone,2024-11-24 10:10:25,2024-11-24 10:10:37
cell phone,2024-11-24 10:10:38,IN PROGRESS
cell phone,2024-11-24 10:10:38,2024-11-24 10:10:38
cell phone,2024-11-24 10:10:39,IN PROGRESS
cell phone,2024-11-24 10:10:39,2024-11-24 10:10:39
cell phone,2024-11-24 10:10:40,IN PROGRESS
cell phone,2024-11-24 10:10:40,2024-11-24 10:10:41
cell phone,2024-11-24 10:10:41,IN PROGRESS
cell phone,2024-11-24 10:10:41,2024-11-24 10:10:42
cell phone,2024-11-24 10:10:43,IN PROGRESS
cell phone,2024-11-24 10:10:43,2024-11-24 10:10:44
cell phone,2024-11-24 10:10:45,IN PROGRESS
cell phone,2024-11-24 10:10:45,2024-11-24 10:10:45
cell phone,2024-11-24 10:10:47,IN PROGRESS
cell phone,2024-11-24 10:10:47,2024-11-24 10:10:48
cell phone,2024-11-24 10:10:49,IN PROGRESS
cell phone,2024-11-24 10:10:49,2024-11-24 10:10:49
cell phone,2024-11-24 10:10:51,IN PROGRESS
cell phone,2024-11-24 10:10:51,2024-11-24 10:10:52
cell phone,2024-11-24 10:10:52,IN PROGRESS
cell phone,2024-11-24 10:10:52,2024-11-24 10:10:52
cell phone,2024-11-24 10:10:53,IN PROGRESS
refrigerator,2024-11-24 10:10:53,IN PROGRESS
cell phone,2024-11-24 10:10:53,2024-11-24 10:10:53
refrigerator,2024-11-24 10:10:53,2024-11-24 10:10:53
cell phone,2024-11-24 10:10:54,IN PROGRESS
refrigerator,2024-11-24 10:10:54,IN PROGRESS
refrigerator,2024-11-24 10:10:54,2024-11-24 10:10:55
cell phone,2024-11-24 10:10:54,2024-11-24 10:10:55
cell phone,2024-11-24 10:10:55,IN PROGRESS
cell phone,2024-11-24 10:10:55,2024-11-24 10:10:56
cell phone,2024-11-24 10:10:57,IN PROGRESS
donut,2024-11-24 10:10:59,IN PROGRESS
donut,2024-11-24 10:10:59,2024-11-24 10:10:59
cell phone,2024-11-24 10:10:57,2024-11-24 10:11:01
